1,20,1,127145
1,20,1,126541
1,20,1,125391
1,20,1,122700
1,20,1,127326
1,20,1,127724
1,20,1,122663
1,20,1,126071
1,20,1,123836
1,20,1,123633
1,20,1,127813
1,20,1,123582
1,20,1,125054
1,20,1,126365
1,20,1,125630
1,20,2,63512
1,20,2,65951
1,20,2,62264
1,20,2,63710
1,20,2,63732
1,20,2,64290
1,20,2,64891
1,20,2,65342
1,20,2,62105
1,20,2,66502
1,20,2,63209
1,20,2,64832
1,20,2,64996
1,20,2,62754
1,20,2,63094
1,20,3,15895
1,20,3,12833
1,20,3,9349
1,20,3,9832
1,20,3,9492
1,20,3,12065
1,20,3,11127
1,20,3,12800
1,20,3,10970
1,20,3,10081
1,20,3,9372
1,20,3,10906
1,20,3,12834
1,20,3,11240
1,20,3,13955
1,50,1,312942
1,50,1,312002
1,50,1,309521
1,50,1,310839
1,50,1,311433
1,50,1,311720
1,50,1,313380
1,50,1,311506
1,50,1,311426
1,50,1,308854
1,50,1,313963
1,50,1,309001
1,50,1,312580
1,50,1,311441
1,50,1,309889
1,50,2,135774
1,50,2,131331
1,50,2,134832
1,50,2,129431
1,50,2,131999
1,50,2,129625
1,50,2,131515
1,50,2,129546
1,50,2,133772
1,50,2,133137
1,50,2,133195
1,50,2,130978
1,50,2,132108
1,50,2,132107
1,50,2,131033
1,50,3,76865
1,50,3,72668
1,50,3,77559
1,50,3,76970
1,50,3,75333
1,50,3,74648
1,50,3,73192
1,50,3,75890
1,50,3,76510
1,50,3,77222
1,50,3,72303
1,50,3,79099
1,50,3,76117
1,50,3,73177
1,50,3,74082
1,80,1,502299
1,80,1,498380
1,80,1,498071
1,80,1,498664
1,80,1,499421
1,80,1,497997
1,80,1,499735
1,80,1,501480
1,80,1,498596
1,80,1,501249
1,80,1,501370
1,80,1,496639
1,80,1,498662
1,80,1,494133
1,80,1,497527
1,80,2,256183
1,80,2,250332
1,80,2,250507
1,80,2,253555
1,80,2,254436
1,80,2,255005
1,80,2,252303
1,80,2,253383
1,80,2,248134
1,80,2,251594
1,80,2,253972
1,80,2,257428
1,80,2,253622
1,80,2,249796
1,80,2,251361
1,80,3,137951
1,80,3,139642
1,80,3,138398
1,80,3,138645
1,80,3,140888
1,80,3,138801
1,80,3,135815
1,80,3,139268
1,80,3,134516
1,80,3,141738
1,80,3,140404
1,80,3,148122
1,80,3,142044
1,80,3,141388
1,80,3,138946
5,20,1,129317
5,20,1,127595
5,20,1,125323
5,20,1,122884
5,20,1,125420
5,20,1,127014
5,20,1,129144
5,20,1,126581
5,20,1,127139
5,20,1,122657
5,20,1,125725
5,20,1,128719
5,20,1,127108
5,20,1,127000
5,20,1,127173
5,20,2,66948
5,20,2,62123
5,20,2,65507
5,20,2,66080
5,20,2,65799
5,20,2,64612
5,20,2,66214
5,20,2,65235
5,20,2,65346
5,20,2,66222
5,20,2,64256
5,20,2,64424
5,20,2,65562
5,20,2,65255
5,20,2,63525
5,20,3,3686
5,20,3,3315
5,20,3,4975
5,20,3,2958
5,20,3,4992
5,20,3,3116
5,20,3,2898
5,20,3,3075
5,20,3,4907
5,20,3,4936
5,20,3,2871
5,20,3,4853
5,20,3,4502
5,20,3,2802
5,20,3,3055
5,50,1,314514
5,50,1,314388
5,50,1,310436
5,50,1,315448
5,50,1,312654
5,50,1,313021
5,50,1,316241
5,50,1,319754
5,50,1,321213
5,50,1,312758
5,50,1,315293
5,50,1,318587
5,50,1,317801
5,50,1,315344
5,50,1,318647
5,50,2,130738
5,50,2,131596
5,50,2,127560
5,50,2,131049
5,50,2,126162
5,50,2,128188
5,50,2,126424
5,50,2,131199
5,50,2,128480
5,50,2,126420
5,50,2,128621
5,50,2,130352
5,50,2,132908
5,50,2,132552
5,50,2,129667
5,50,3,68356
5,50,3,67997
5,50,3,65803
5,50,3,66708
5,50,3,68835
5,50,3,66905
5,50,3,68760
5,50,3,66197
5,50,3,65729
5,50,3,66121
5,50,3,67850
5,50,3,66537
5,50,3,67823
5,50,3,66184
5,50,3,67441
5,80,1,513086
5,80,1,515546
5,80,1,511844
5,80,1,511043
5,80,1,513022
5,80,1,509079
5,80,1,512188
5,80,1,508131
5,80,1,518400
5,80,1,517932
5,80,1,516355
5,80,1,512233
5,80,1,521019
5,80,1,513118
5,80,1,514331
5,80,2,258329
5,80,2,259083
5,80,2,263382
5,80,2,260362
5,80,2,262513
5,80,2,258481
5,80,2,254723
5,80,2,259109
5,80,2,255440
5,80,2,257220
5,80,2,264712
5,80,2,262157
